Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,label
2017-02-03,2017,2,3,Friday,5,2017-05,66.82,66.93,66.44,66.5,7625300.0,60.95,-0.0029984145861815525,61.35857142857142,63.31500000000002,green
2017-02-06,2017,2,6,Monday,6,2017-06,66.37,66.86,66.37,66.4,9097200.0,60.86,-0.001503622174746866,61.22642857142856,63.25600000000003,green
2017-02-07,2017,2,7,Tuesday,6,2017-06,66.56,67.0,66.51,66.89,5805700.0,61.31,0.0073794955480945825,61.147142857142846,63.19300000000002,green
2017-02-08,2017,2,8,Wednesday,6,2017-06,66.89,67.82,66.89,67.81,7660800.0,62.15,0.013753613468928894,61.15928571428571,63.13960000000003,green
2017-02-09,2017,2,9,Thursday,6,2017-06,67.81,69.14,67.75,69.08,11080500.0,63.31,0.018729133365880783,61.283571428571406,63.11020000000002,green
2017-02-10,2017,2,10,Friday,6,2017-06,68.25,68.6,67.76,68.02,12445600.0,62.34,-0.015344487439399757,61.372857142857114,63.05800000000003,green
2017-02-13,2017,2,13,Monday,7,2017-07,68.32,68.65,67.56,67.77,8374300.0,62.11,-0.00367566544872644,61.39714285714284,63.01840000000003,green
2017-02-14,2017,2,14,Tuesday,7,2017-07,67.88,68.68,67.71,68.66,8462300.0,62.93,0.013132771779160723,61.512857142857115,62.99080000000003,green
2017-02-15,2017,2,15,Wednesday,7,2017-07,67.8,68.71,67.76,68.69,8563300.0,62.96,0.0004370654805319063,61.64142857142855,62.96000000000003,green
2017-02-16,2017,2,16,Thursday,7,2017-07,68.67,69.24,68.61,68.87,8413800.0,63.12,0.00262058070502702,61.85142857142855,62.94940000000002,green
2017-02-17,2017,2,17,Friday,7,2017-07,68.83,69.79,68.69,69.37,12837400.0,63.58,0.0072599347198738515,62.04428571428571,62.94040000000002,green
2017-02-21,2017,2,21,Tuesday,8,2017-08,71.21,72.28,70.7,71.45,22412900.0,65.49,0.029984090691458576,62.35285714285713,62.95600000000001,green
2017-02-22,2017,2,22,Wednesday,8,2017-08,72.25,72.37,71.48,71.71,15242700.0,65.72,0.003639018668451177,62.71142857142856,62.981000000000016,green
2017-02-23,2017,2,23,Thursday,8,2017-08,72.0,72.5,71.16,71.31,12799700.0,65.36,-0.005578325058421263,63.013571428571424,63.00360000000001,green
2017-02-24,2017,2,24,Friday,8,2017-08,71.34,72.8,71.3,72.39,13889900.0,66.35,0.015145208017521172,63.39928571428571,63.01680000000001,green
2017-02-27,2017,2,27,Monday,9,2017-09,72.28,72.42,71.53,71.74,9254700.0,65.75,-0.008979241698749306,63.748571428571424,63.015600000000006,red
2017-02-28,2017,2,28,Tuesday,9,2017-09,70.87,71.0,70.0,70.93,15952600.0,65.01,-0.01129053256401513,64.01285714285713,63.00800000000002,red
2017-03-01,2017,3,1,Wednesday,9,2017-09,70.97,71.08,70.15,70.45,13522700.0,64.57,-0.006767016121555392,64.18571428571427,62.99640000000002,red
2017-03-02,2017,3,2,Thursday,9,2017-09,70.42,70.9,70.17,70.76,8916300.0,64.85,0.004400211786777852,64.29571428571428,62.99220000000002,red
2017-03-03,2017,3,3,Friday,9,2017-09,70.76,71.02,69.88,70.03,9297900.0,64.18,-0.010316724877180272,64.42714285714285,62.96380000000002,red
2017-03-06,2017,3,6,Monday,10,2017-10,70.0,70.44,69.78,69.88,9182600.0,64.05,-0.002141862396841332,64.56571428571428,62.92840000000002,green
2017-03-07,2017,3,7,Tuesday,10,2017-10,69.9,70.21,69.86,69.87,7282900.0,64.04,-0.00014306555535348317,64.645,62.90340000000002,green
2017-03-08,2017,3,8,Wednesday,10,2017-10,69.69,70.03,69.54,69.8,7979800.0,64.44,0.006343559913609909,64.75071428571427,62.91660000000002,green
2017-03-09,2017,3,9,Thursday,10,2017-10,69.75,70.04,69.56,69.86,7564500.0,64.5,0.0008594973929170191,64.84928571428571,62.93180000000002,green
